length_multiply,mpn_s,mpn_d,desired_p_decoy,desired_p_z_alice,factor_x_mud,factor_total,SKR
10000000.0,0.165,0.155,0.02,0.12000000000000001,1,1,[7020463.59105348]
10000000.0,0.165,0.155,0.02,0.13999999999999999,1,1,[8190500.07865479]
10000000.0,0.165,0.155,0.02,0.16,1,1,[9360498.01347949]
10000000.0,0.165,0.155,0.02,0.18,1,1,[10530447.6552041]
10000000.0,0.165,0.155,0.02,0.19999999999999998,1,1,[11700335.93690716]
10000000.0,0.165,0.155,0.02,0.22,1,1,[12870146.60370492]
10000000.0,0.165,0.155,0.02,0.24,1,1,[14039859.54892112]
10000000.0,0.165,0.155,0.02,0.26,1,1,[15209449.79986211]
10000000.0,0.165,0.155,0.02,0.28,1,1,[16378886.13288656]
10000000.0,0.165,0.155,0.02,0.30000000000000004,1,1,[17548129.20268488]
10000000.0,0.165,0.155,0.02,0.32,1,1,[18717128.99875882]
10000000.0,0.165,0.155,0.02,0.34,1,1,[19885821.34738088]
10000000.0,0.165,0.155,0.02,0.36000000000000004,1,1,[21054123.03451874]
10000000.0,0.165,0.155,0.02,0.38,1,1,[22221924.90047956]
10000000.0,0.165,0.155,0.02,0.4,1,1,[23389081.89368266]
10000000.0,0.165,0.155,0.02,0.42000000000000004,1,1,[24555398.46831389]
10000000.0,0.165,0.155,0.02,0.44,1,1,[25720606.68325645]
10000000.0,0.165,0.155,0.02,0.46,1,1,[26884332.55428117]
10000000.0,0.165,0.155,0.02,0.48000000000000004,1,1,[28046042.9284826]
10000000.0,0.165,0.155,0.02,0.5,1,1,[29204958.94415533]
10000000.0,0.165,0.155,0.02,0.52,1,1,[30359909.87621096]
10000000.0,0.165,0.155,0.02,0.54,1,1,[31509075.657267]
10000000.0,0.165,0.155,0.02,0.56,1,1,[32649510.00655905]
10000000.0,0.165,0.155,0.02,0.5800000000000001,1,1,[33776202.3553529]
10000000.0,0.165,0.155,0.02,0.6,1,1,[34880090.67181368]
10000000.0,0.165,0.155,0.02,0.62,1,1,[35943440.62054419]
10000000.0,0.165,0.155,0.02,0.64,1,1,[36927719.81411434]
10000000.0,0.165,0.155,0.02,0.66,1,1,[37736177.09526803]
10000000.0,0.165,0.155,0.02,0.68,1,1,[38070029.55963017]
10000000.0,0.165,0.155,0.02,0.7000000000000001,1,1,[36836664.30066065]
10000000.0,0.165,0.155,0.04,0.34,1,1,[21230022.93924463]
10000000.0,0.165,0.155,0.04,0.36000000000000004,1,1,[22478775.56586752]
10000000.0,0.165,0.155,0.04,0.38,1,1,[23727484.64480123]
10000000.0,0.165,0.155,0.04,0.4,1,1,[24976143.78131791]
10000000.0,0.165,0.155,0.04,0.42000000000000004,1,1,[26224743.06852364]
10000000.0,0.165,0.155,0.04,0.44,1,1,[27473269.57885094]
10000000.0,0.165,0.155,0.04,0.46,1,1,[28721706.93199734]
10000000.0,0.165,0.155,0.04,0.48000000000000004,1,1,[29970034.45776558]
10000000.0,0.165,0.155,0.04,0.5,1,1,[31218225.97366594]
10000000.0,0.165,0.155,0.04,0.52,1,1,[32466248.07383062]
10000000.0,0.165,0.155,0.04,0.54,1,1,[33714057.73748788]
10000000.0,0.165,0.155,0.04,0.56,1,1,[34961598.95219221]
10000000.0,0.165,0.155,0.04,0.5800000000000001,1,1,[36208797.87346992]
10000000.0,0.165,0.155,0.04,0.6,1,1,[37455555.75946222]
10000000.0,0.165,0.155,0.04,0.62,1,1,[38701738.44067407]
10000000.0,0.165,0.155,0.04,0.64,1,1,[39947160.24967849]
10000000.0,0.165,0.155,0.04,0.66,1,1,[41191558.82648485]
10000000.0,0.165,0.155,0.04,0.68,1,1,[42434554.38144831]
10000000.0,0.165,0.155,0.04,0.7000000000000001,1,1,[43675581.43706948]
10000000.0,0.165,0.155,0.04,0.7200000000000001,1,1,[44913769.58997334]
10000000.0,0.165,0.155,0.04,0.74,1,1,[46147724.67731836]
10000000.0,0.165,0.155,0.04,0.76,1,1,[47375102.54907361]
10000000.0,0.165,0.155,0.04,0.78,1,1,[48591715.89404414]
10000000.0,0.165,0.155,0.04,0.8,1,1,[49789481.44550958]
10000000.0,0.165,0.155,0.04,0.8200000000000001,1,1,[50951096.254848]
10000000.0,0.165,0.155,0.04,0.8400000000000001,1,1,[52033739.76628953]
