Thu Feb  6 11:14:33 2025    profile_output.prof

         13895108 function calls (13725468 primitive calls) in 10.472 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.278    0.046 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\code\simulationmanager.py:62(process_state)
      138    0.004    0.000    0.273    0.002 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\spines.py:142(get_window_extent)
     1677    0.004    0.000    0.272    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\lines.py:1338(update_from)
     1839    0.030    0.000    0.253    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\lines.py:287(__init__)
     3300    0.107    0.000    0.249    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\lines.py:744(draw)
97825/1677    0.105    0.000    0.239    0.000 C:\Users\leavi\AppData\Local\Programs\Python\Python313\Lib\copy.py:119(deepcopy)
      233    0.002    0.000    0.235    0.001 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\axis.py:367(__init__)
6708/1677    0.028    0.000    0.234    0.000 C:\Users\leavi\AppData\Local\Programs\Python\Python313\Lib\copy.py:218(_deepcopy_dict)
     7898    0.045    0.000    0.227    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\artist.py:1188(_update_props)
      918    0.002    0.000    0.226    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\ticker.py:2226(__call__)
        6    0.000    0.000    0.212    0.035 C:\Users\leavi\AppData\Local\Programs\Python\Python313\Lib\tkinter\__init__.py:2439(__init__)
      306    0.001    0.000    0.212    0.001 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\axis.py:1655(get_major_ticks)
        6    0.210    0.035    0.210    0.035 {built-in method _tkinter.create}
      306    0.005    0.000    0.200    0.001 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\axis.py:1538(get_minorticklocs)
   603103    0.139    0.000    0.200    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\numpy\_core\numeric.py:1927(isscalar)
     6570    0.004    0.000    0.197    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\artist.py:1226(_internal_update)
      918    0.003    0.000    0.191    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\ticker.py:2230(tick_values)
628360/628348    0.182    0.000    0.183    0.000 {built-in method numpy.asarray}
      918    0.025    0.000    0.174    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\ticker.py:2157(_raw_ticks)
      612    0.001    0.000    0.162    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\axis.py:1534(get_majorticklocs)
     60/3    0.001    0.000    0.149    0.050 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\text.py:73(_get_text_metrics_with_cache_impl)
     66/3    0.413    0.006    0.147    0.049 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\backends\backend_agg.py:206(get_text_width_height_descent)
     1298    0.003    0.000    0.144    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\text.py:104(__init__)
     4707    0.004    0.000    0.141    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\artist.py:146(<lambda>)
      164    0.120    0.001    0.137    0.001 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\backends\backend_agg.py:93(draw_path)
     4707    0.005    0.000    0.137    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\artist.py:1237(set)
    11021    0.023    0.000    0.135    0.000 C:\Users\leavi\AppData\Local\Programs\Python\Python313\Lib\copy.py:248(_reconstruct)
       12    0.070    0.006    0.135    0.011 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\backends\backend_agg.py:268(clear)
   606289    0.127    0.000    0.127    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       12    0.000    0.000    0.125    0.010 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\figure.py:644(add_subplot)
     1162    0.119    0.000    0.125    0.000 {method 'call' of '_tkinter.tkapp' objects}
       12    0.001    0.000    0.123    0.010 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\axes\_base.py:579(__init__)
