length_multiply,mpn_s,mpn_d,desired_p_decoy,desired_p_z_alice,factor_x_mud,SKR
10000000.0,0.15,0.075,0.1,0.46,1,[3685600.13323158]
10000000.0,0.15,0.075,0.1,0.48000000000000004,1,[3805239.56721108]
10000000.0,0.15,0.075,0.1,0.5,1,[3906075.15498688]
10000000.0,0.15,0.075,0.1,0.52,1,[3977733.28834489]
10000000.0,0.15,0.075,0.1,0.54,1,[4001958.48736586]
10000000.0,0.15,0.075,0.1,0.56,1,[3944823.02494431]
10000000.0,0.15,0.075,0.1,0.5800000000000001,1,[3741228.74265089]
10000000.0,0.15,0.075,0.1,0.6,1,[3294580.60322826]
10000000.0,0.15,0.075,0.12000000000000001,0.02,1,[168924.29498475]
10000000.0,0.15,0.075,0.12000000000000001,0.04,1,[337813.4402356]
10000000.0,0.15,0.075,0.12000000000000001,0.06,1,[506654.59338226]
10000000.0,0.15,0.075,0.12000000000000001,0.08,1,[675434.46320146]
10000000.0,0.15,0.075,0.12000000000000001,0.1,1,[844138.3951425]
10000000.0,0.15,0.075,0.12000000000000001,0.12000000000000001,1,[1012749.71282053]
10000000.0,0.15,0.075,0.12000000000000001,0.13999999999999999,1,[1181249.0952625]
10000000.0,0.15,0.075,0.12000000000000001,0.16,1,[1349613.88478254]
10000000.0,0.15,0.075,0.12000000000000001,0.18,1,[1517817.26115924]
10000000.0,0.15,0.075,0.12000000000000001,0.19999999999999998,1,[1685827.22166126]
10000000.0,0.15,0.075,0.12000000000000001,0.22,1,[1853605.29577961]
10000000.0,0.15,0.075,0.12000000000000001,0.24,1,[2021104.90256042]
10000000.0,0.15,0.075,0.12000000000000001,0.26,1,[2188269.22611108]
10000000.0,0.15,0.075,0.12000000000000001,0.28,1,[2355028.43716165]
10000000.0,0.15,0.075,0.12000000000000001,0.30000000000000004,1,[2521296.01842709]
10000000.0,0.15,0.075,0.12000000000000001,0.32,1,[2686963.84744204]
10000000.0,0.15,0.075,0.12000000000000001,0.34,1,[2851895.53396528]
10000000.0,0.15,0.075,0.12000000000000001,0.36000000000000004,1,[3015917.26958541]
