desired_p_decoy: 0.06, desired_p_z_alice: 0.96, factor_x_mud: 4, SKR: 1663266.6720484095
desired_p_decoy: 0.06, desired_p_z_alice: 0.98, factor_x_mud: 4, SKR: 1697291.619239612
desired_p_decoy: 0.08, desired_p_z_alice: 0.98, factor_x_mud: 4, SKR: 1773450.6330338381
desired_p_decoy: 0.02, desired_p_z_alice: 0.74, factor_x_mud: 5, SKR: 404259.1200504337
desired_p_decoy: 0.02, desired_p_z_alice: 0.76, factor_x_mud: 5, SKR: 415180.3631750293
desired_p_decoy: 0.02, desired_p_z_alice: 0.78, factor_x_mud: 5, SKR: 426098.24174932763
desired_p_decoy: 0.02, desired_p_z_alice: 0.8, factor_x_mud: 5, SKR: 437011.6257458196
desired_p_decoy: 0.02, desired_p_z_alice: 0.82, factor_x_mud: 5, SKR: 447918.5309414327
desired_p_decoy: 0.02, desired_p_z_alice: 0.84, factor_x_mud: 5, SKR: 458815.62693607283
desired_p_decoy: 0.02, desired_p_z_alice: 0.86, factor_x_mud: 5, SKR: 469697.11839102535
desired_p_decoy: 0.02, desired_p_z_alice: 0.88, factor_x_mud: 5, SKR: 480552.2600951924
desired_p_decoy: 0.02, desired_p_z_alice: 0.9, factor_x_mud: 5, SKR: 491359.27173922415
desired_p_decoy: 0.02, desired_p_z_alice: 0.92, factor_x_mud: 5, SKR: 502068.0815183256
desired_p_decoy: 0.02, desired_p_z_alice: 0.94, factor_x_mud: 5, SKR: 512539.5858169363
desired_p_decoy: 0.02, desired_p_z_alice: 0.96, factor_x_mud: 5, SKR: 522240.9550946834
desired_p_decoy: 0.02, desired_p_z_alice: 0.98, factor_x_mud: 5, SKR: 526996.9885491764
desired_p_decoy: 0.04, desired_p_z_alice: 0.92, factor_x_mud: 5, SKR: 1364810.9049988238
desired_p_decoy: 0.04, desired_p_z_alice: 0.94, factor_x_mud: 5, SKR: 1394419.9388267305
desired_p_decoy: 0.04, desired_p_z_alice: 0.96, factor_x_mud: 5, SKR: 1423878.171518575
desired_p_decoy: 0.04, desired_p_z_alice: 0.98, factor_x_mud: 5, SKR: 1452435.3418272978
desired_p_decoy: 0.06, desired_p_z_alice: 0.96, factor_x_mud: 5, SKR: 1663273.4975724074
desired_p_decoy: 0.06, desired_p_z_alice: 0.98, factor_x_mud: 5, SKR: 1697566.269640935
