length_multiply,mpn_s,mpn_d,desired_p_decoy,desired_p_z_alice,factor_x_mud,factor_total,SKR
10000000.0,0.135,0.13,0.02,0.02,1,1,[770655.89515538]
10000000.0,0.135,0.13,0.02,0.04,1,1,[1541281.42019987]
10000000.0,0.135,0.13,0.02,0.06,1,1,[2311867.46154071]
10000000.0,0.135,0.13,0.02,0.08,1,1,[3082402.85644512]
10000000.0,0.135,0.13,0.02,0.1,1,1,[3852874.40438602]
10000000.0,0.135,0.13,0.02,0.12000000000000001,1,1,[4623266.28562058]
10000000.0,0.135,0.13,0.02,0.13999999999999999,1,1,[5393559.31525129]
10000000.0,0.135,0.13,0.02,0.16,1,1,[6163729.99113502]
10000000.0,0.135,0.13,0.02,0.18,1,1,[6933749.25524984]
10000000.0,0.135,0.13,0.02,0.19999999999999998,1,1,[7703580.85548294]
10000000.0,0.135,0.13,0.02,0.22,1,1,[8473179.14733382]
10000000.0,0.135,0.13,0.02,0.24,1,1,[9242486.10263196]
10000000.0,0.135,0.13,0.02,0.26,1,1,[10011427.18053989]
10000000.0,0.135,0.13,0.02,0.28,1,1,[10779905.54060437]
10000000.0,0.135,0.13,0.02,0.30000000000000004,1,1,[11547793.79671353]
10000000.0,0.135,0.13,0.02,0.32,1,1,[12314922.05095886]
10000000.0,0.135,0.13,0.02,0.34,1,1,[13081060.17423492]
10000000.0,0.135,0.13,0.02,0.36000000000000004,1,1,[13845890.96649466]
10000000.0,0.135,0.13,0.02,0.38,1,1,[14608968.4506515]
10000000.0,0.135,0.13,0.02,0.4,1,1,[15369651.15623982]
10000000.0,0.135,0.13,0.02,0.42000000000000004,1,1,[16126991.77974456]
10000000.0,0.135,0.13,0.02,0.44,1,1,[16879547.51772928]
10000000.0,0.135,0.13,0.02,0.46,1,1,[17625038.96277178]
10000000.0,0.135,0.13,0.02,0.48000000000000004,1,1,[18359702.84649627]
10000000.0,0.135,0.13,0.02,0.5,1,1,[19076982.01017807]
10000000.0,0.135,0.13,0.02,0.52,1,1,[19764657.11058816]
10000000.0,0.135,0.13,0.02,0.54,1,1,[20397931.11928751]
10000000.0,0.135,0.13,0.02,0.56,1,1,[20920738.69876346]
10000000.0,0.135,0.13,0.02,0.5800000000000001,1,1,[21190510.22656974]
10000000.0,0.135,0.13,0.02,0.6,1,1,[20977126.021822]
10000000.0,0.135,0.13,0.04,0.02,1,1,[823763.85366892]
10000000.0,0.135,0.13,0.04,0.04,1,1,[1647516.56112064]
10000000.0,0.135,0.13,0.04,0.06,1,1,[2471256.31067315]
10000000.0,0.135,0.13,0.04,0.08,1,1,[3294980.85107764]
10000000.0,0.135,0.13,0.04,0.1,1,1,[4118687.69448076]
10000000.0,0.135,0.13,0.04,0.12000000000000001,1,1,[4942374.07267896]
10000000.0,0.135,0.13,0.04,0.13999999999999999,1,1,[5766036.87616151]
10000000.0,0.135,0.13,0.04,0.16,1,1,[6589672.58407729]
10000000.0,0.135,0.13,0.04,0.18,1,1,[7413277.18310193]
10000000.0,0.135,0.13,0.04,0.19999999999999998,1,1,[8236846.07167412]
10000000.0,0.135,0.13,0.04,0.22,1,1,[9060373.94527824]
10000000.0,0.135,0.13,0.04,0.24,1,1,[9883854.65745963]
10000000.0,0.135,0.13,0.04,0.26,1,1,[10707281.04987387]
10000000.0,0.135,0.13,0.04,0.28,1,1,[11530644.74275576]
10000000.0,0.135,0.13,0.04,0.30000000000000004,1,1,[12353935.87456644]
10000000.0,0.135,0.13,0.04,0.32,1,1,[13177142.77597025]
