length_multiply,mpn_s,mpn_d,desired_p_decoy,desired_p_z_alice,factor_x_mud,factor_total,SKR
10000000.0,0.25,0.175,0.02,0.02,1,1,[84561.22636404]
10000000.0,0.25,0.175,0.02,0.04,1,1,[169014.41413587]
10000000.0,0.25,0.175,0.02,0.06,1,1,[253305.55267357]
10000000.0,0.25,0.175,0.02,0.08,1,1,[337355.22008531]
10000000.0,0.25,0.175,0.02,0.1,1,1,[421049.17166038]
10000000.0,0.25,0.175,0.02,0.12000000000000001,1,1,[504220.10292245]
10000000.0,0.25,0.175,0.02,0.13999999999999999,1,1,[586617.37572084]
10000000.0,0.25,0.175,0.02,0.16,1,1,[667855.59554603]
10000000.0,0.25,0.175,0.02,0.18,1,1,[747324.19874768]
10000000.0,0.25,0.175,0.02,0.19999999999999998,1,1,[824022.39654717]
10000000.0,0.25,0.175,0.02,0.22,1,1,[896247.04070181]
10000000.0,0.25,0.175,0.02,0.24,1,1,[960993.66703804]
10000000.0,0.25,0.175,0.02,0.26,1,1,[1012915.94146114]
10000000.0,0.25,0.175,0.02,0.28,1,1,[1044304.11530444]
10000000.0,0.25,0.175,0.02,0.30000000000000004,1,1,[1090984.89880607]
10000000.0,0.25,0.175,0.04,0.02,1,1,[136107.92382265]
10000000.0,0.25,0.175,0.04,0.04,1,1,[272181.46072401]
10000000.0,0.25,0.175,0.04,0.06,1,1,[408212.59850555]
10000000.0,0.25,0.175,0.04,0.08,1,1,[544190.9646312]
10000000.0,0.25,0.175,0.04,0.1,1,1,[680104.39867479]
10000000.0,0.25,0.175,0.04,0.12000000000000001,1,1,[815938.59290984]
10000000.0,0.25,0.175,0.04,0.13999999999999999,1,1,[951676.56731832]
10000000.0,0.25,0.175,0.04,0.16,1,1,[1087298.00054776]
10000000.0,0.25,0.175,0.04,0.18,1,1,[1222778.38020209]
10000000.0,0.25,0.175,0.04,0.19999999999999998,1,1,[1358087.91269719]
10000000.0,0.25,0.175,0.04,0.22,1,1,[1493190.10867545]
10000000.0,0.25,0.175,0.04,0.24,1,1,[1628039.92657277]
10000000.0,0.25,0.175,0.04,0.26,1,1,[1762581.30830645]
10000000.0,0.25,0.175,0.04,0.28,1,1,[1896743.86886368]
10000000.0,0.25,0.175,0.04,0.30000000000000004,1,1,[2030438.39269693]
10000000.0,0.25,0.175,0.04,0.32,1,1,[2163550.62287901]
10000000.0,0.25,0.175,0.04,0.34,1,1,[2295932.56825647]
10000000.0,0.25,0.175,0.04,0.36000000000000004,1,1,[2427390.1385445]
10000000.0,0.25,0.175,0.04,0.38,1,1,[2557665.24130764]
10000000.0,0.25,0.175,0.04,0.4,1,1,[2686409.34823744]
10000000.0,0.25,0.175,0.04,0.42000000000000004,1,1,[2813143.61242547]
10000000.0,0.25,0.175,0.04,0.44,1,1,[2937197.23535866]
10000000.0,0.25,0.175,0.04,0.46,1,1,[3057609.66592185]
10000000.0,0.25,0.175,0.04,0.48000000000000004,1,1,[3172970.82951213]
10000000.0,0.25,0.175,0.04,0.5,1,1,[3281151.83865314]
10000000.0,0.25,0.175,0.04,0.52,1,1,[3378836.51935877]
10000000.0,0.25,0.175,0.04,0.54,1,1,[3460684.84588302]
10000000.0,0.25,0.175,0.04,0.56,1,1,[3517840.02718275]
10000000.0,0.25,0.175,0.04,0.5800000000000001,1,1,[3535594.2486852]
10000000.0,0.25,0.175,0.04,0.6,1,1,[3493672.3412611]
10000000.0,0.25,0.175,0.04,0.62,1,1,[3434802.17717054]
10000000.0,0.25,0.175,0.06,0.02,1,1,[151983.88970173]
10000000.0,0.25,0.175,0.06,0.04,1,1,[303948.74364014]
10000000.0,0.25,0.175,0.06,0.06,1,1,[455891.46579231]
10000000.0,0.25,0.175,0.06,0.08,1,1,[607807.93164872]
10000000.0,0.25,0.175,0.06,0.1,1,1,[759693.48207466]
10000000.0,0.25,0.175,0.06,0.12000000000000001,1,1,[911542.8620143]
10000000.0,0.25,0.175,0.06,0.13999999999999999,1,1,[1063350.10183573]
10000000.0,0.25,0.175,0.06,0.16,1,1,[1215108.37053188]
10000000.0,0.25,0.175,0.06,0.18,1,1,[1366809.79972401]
10000000.0,0.25,0.175,0.06,0.19999999999999998,1,1,[1518445.27135953]
10000000.0,0.25,0.175,0.06,0.22,1,1,[1670004.15899053]
10000000.0,0.25,0.175,0.06,0.24,1,1,[1821474.0094324]
10000000.0,0.25,0.175,0.06,0.26,1,1,[1972840.14759076]
10000000.0,0.25,0.175,0.06,0.28,1,1,[2124085.1817768]
10000000.0,0.25,0.175,0.06,0.30000000000000004,1,1,[2275188.37927871]
10000000.0,0.25,0.175,0.06,0.32,1,1,[2426124.87143075]
10000000.0,0.25,0.175,0.06,0.34,1,1,[2576864.63260585]
10000000.0,0.25,0.175,0.06,0.36000000000000004,1,1,[2727371.15646891]
10000000.0,0.25,0.175,0.06,0.38,1,1,[2877599.72243135]
10000000.0,0.25,0.175,0.06,0.4,1,1,[3027495.10083186]
10000000.0,0.25,0.175,0.06,0.42000000000000004,1,1,[3176988.4794895]
10000000.0,0.25,0.175,0.06,0.44,1,1,[3325993.29496156]
10000000.0,0.25,0.175,0.06,0.46,1,1,[3474399.49944956]
10000000.0,0.25,0.175,0.06,0.48000000000000004,1,1,[3622065.55590583]
10000000.0,0.25,0.175,0.06,0.5,1,1,[3768807.07299331]
10000000.0,0.25,0.175,0.06,0.52,1,1,[3914380.36863237]
10000000.0,0.25,0.175,0.06,0.54,1,1,[4058458.20566631]
10000000.0,0.25,0.175,0.06,0.56,1,1,[4200593.13880128]
10000000.0,0.25,0.175,0.06,0.5800000000000001,1,1,[4340160.69672815]
10000000.0,0.25,0.175,0.06,0.6,1,1,[4476268.6874424]
10000000.0,0.25,0.175,0.06,0.62,1,1,[4607607.51195607]
10000000.0,0.25,0.175,0.06,0.64,1,1,[4732193.46783439]
10000000.0,0.25,0.175,0.06,0.66,1,1,[4846908.67049807]
10000000.0,0.25,0.175,0.06,0.68,1,1,[4946633.4287398]
10000000.0,0.25,0.175,0.06,0.7000000000000001,1,1,[5022512.97448408]
10000000.0,0.25,0.175,0.06,0.7200000000000001,1,1,[5058278.24240386]
10000000.0,0.25,0.175,0.06,0.74,1,1,[5022112.30066455]
10000000.0,0.25,0.175,0.06,0.76,1,1,[4851342.4298252]
10000000.0,0.25,0.175,0.06,0.78,1,1,[4532677.93954475]
10000000.0,0.25,0.175,0.08,0.02,1,1,[158943.61800487]
10000000.0,0.25,0.175,0.08,0.04,1,1,[317874.41274524]
10000000.0,0.25,0.175,0.08,0.06,1,1,[476790.74802421]
10000000.0,0.25,0.175,0.08,0.08,1,1,[635690.32864249]
10000000.0,0.25,0.175,0.08,0.1,1,1,[794570.58800893]
10000000.0,0.25,0.175,0.08,0.12000000000000001,1,1,[953428.67444471]
