Voltage (V), Transmission
-1.500065, 0.014200919187663641
-1.35004, 0.01329795016289581
-1.20006, 0.008642067786818492
-1.050064, 0.011402634489949274
-0.9000131, 0.02499279997301716
-0.7500441, 0.06114804029526184
-0.6000313, 0.15549130017972174
-0.4500438, 0.28902238548472703
-0.299976, 0.5415958402629051
-0.1499387, 0.7633443907210754
7.023775e-05, 1.0
-1.999921, 0.01170508869430021
-1.79999, 0.008558565968570658
-1.600057, 0.008732460414558251
-1.400024, 0.012268010158141046
-1.200061, 0.020844651989705917
-1.000074, 0.03219664013837851
-0.8000263, 0.0682178658218092
-0.6000131, 0.15169329469575327
-0.4000601, 0.33571664634426124
-0.1999287, 0.6441814583249448
6.449077e-05, 1.0
-1.9999, 0.009811240271570834
-1.799971, 0.010645742236924237
-1.600041, 0.009815198463539662
-1.400003, 0.01330971798351734
-1.200041, 0.014941976896546702
-1.000056, 0.02957857240491357
-0.8000031, 0.06079074345827391
-0.59999, 0.1542237670137427
-0.4000418, 0.35156312219907365
-0.1999036, 0.6796252037233995
8.93356e-05, 1.0
-1.999896, 0.09710441184762593
-1.749959, 0.1482702917343317
-1.500046, 0.09441965795960246
-1.250065, 0.1480195194749287
-1.000055, 0.1625090599469226
-0.7500233, 0.214924357915392
-0.5000081, 0.2958094692769507
-0.2499577, 0.5647260814704318
8.975686e-05, 1.0
